CVE,DESCRIP
S050,Traumatismo de la conjuntiva y abrasión corneal sin mención de cuerpo extraño
S051,Contusión del globo ocular y del tejido orbitario
S052,Laceración y ruptura ocular con prolapso o pérdida del tejido intraocular
S053,Laceración ocular sin prolapso o pérdida del tejido intraocular
S054,Herida penetrante de la órbita con o sin cuerpo extraño
S055,Herida penetrante del globo ocular con cuerpo extraño
S056,Herida penetrante del globo ocular sin cuerpo extraño
S057,Avulsión de ojo
S058,Otros traumatismos del ojo y de la órbita
S059,"Traumatismo del ojo y de la órbita, no especificado"
S060,Concusión
S061,Edema cerebral traumático
S062,Traumatismo cerebral difuso
S063,Traumatismo cerebral focal
S064,Hemorragia epidural
S065,Hemorragia subdural traumática
S066,Hemorragia subaracnoidea traumática
S067,Traumatismo intracraneal con coma prolongado
S068,Otros traumatismos intracraneales
S069,"Traumatismo intracraneal, no especificado"
S070,Traumatismo por aplastamiento de la cara
S071,Traumatismo por aplastamiento del cráneo
S078,Traumatismo por aplastamiento de otras partes de la cabeza
S079,"Traumatismo por aplastamiento de la cabeza, parte no especificada"
S080,Avulsión del cuero cabelludo
S081,Amputación traumática de la oreja
S088,Amputación traumática de otras partes de la cabeza
S089,Amputación traumática de parte no especificada de la cabeza
S090,Traumatismo de los vasos sanguíneos de la cabeza no clasificados en otra parte
S091,Traumatismo de tendón y músculos de la cabeza
S092,Ruptura traumática del tímpano del oído
S097,Traumatismos múltiples de la cabeza
S098,"Otros traumatismos de la cabeza, especificados"
S099,"Traumatismo de la cabeza, no especificado"
S100,Contusión de la garganta
S101,Otros traumatismos superficiales y los no especificados de la garganta
S107,Traumatismo superficial múltiple del cuello
S108,Traumatismo superficial de otras partes del cuello
S109,"Traumatismo superficial del cuello, parte no especificada"
S110,Herida que compromete la laringe y la tráquea
S111,Herida que compromete la glándula tiroides
S112,Herida que compromete la faringe y el esófago cervical
S117,Heridas múltiples del cuello
S118,Heridas de otras partes del cuello
S119,"Herida de cuello, parte no especificada"
S120,Fractura de la primera vértebra cervical
S121,Fractura de la segunda vértebra cervical
S122,Fractura de otras vértebras cervicales especificadas
S127,Fracturas múltiples de columna cervical
S128,Fractura de otras partes del cuello
S129,"Fractura del cuello, parte no especificada"
S130,Ruptura traumática de disco cervical intervertebral
S131,Luxación de vértebra cervical
S132,Luxaciones de otras partes y de las no especificadas del cuello
S133,Luxaciones múltiples del cuello
S134,Esguinces y torceduras de la columna cervical
S135,Esguinces y torceduras de la región tiroidea
S136,Esguinces y torceduras de articulaciones y ligamentos de otros sitios especificados y de los no especificados del cuello
S140,Concusión y edema de la médula espinal cervical
S141,Otros traumatismos de la médula espinal cervical y los no especificados
S142,Traumatismo de raíz nerviosa de columna cervical
S143,Traumatismo del plexo braquial
S144,Traumatismo de nervios periféricos del cuello
S145,Traumatismo de nervios cervicales simpáticos
S146,Traumatismo de otros nervios y de los no especificados del cuello
S150,Traumatismo de la arteria carótida
S151,Traumatismo de la arteria vertebral
S152,Traumatismo de la vena yugular externa
S153,Traumatismo de la vena yugular interna
S157,Traumatismo de múltiples vasos sanguíneos a nivel del cuello
S158,Traumatismo de otros vasos sanguíneos a nivel del cuello
S159,Traumatismo de vasos sanguíneos no especificados a nivel del cuello
S16X,Traumatismo de tendón y músculos a nivel del cuello
S170,Traumatismo por aplastamiento de la laringe y de la tráquea
S178,Traumatismo por aplastamiento de otras partes del cuello
S179,"Traumatismo por aplastamiento del cuello, parte no especificada"
S18X,Amputación traumática a nivel del cuello
S197,Traumatismos múltiples del cuello
S198,"Otros traumatismos del cuello, especificados"
S199,"Traumatismo del cuello, no especificado"
S200,Contusión de la mama
S201,Otros traumatismos superficiales y los no especificados de la mama
S202,Contusión del tórax
S203,Otros traumatismos superficiales de la pared anterior del tórax
S204,Otros traumatismos superficiales de la pared posterior del tórax
S207,Traumatismos superficiales múltiples del tórax
S208,Traumatismo superficial de otras partes y de las no especificadas del tórax
S210,Herida de la mama
S211,Herida de la pared anterior del tórax
S212,Herida de la pared posterior del tórax
S217,Herida múltiple de la pared torácica
S218,Herida de otras partes del tórax
S219,"Herida del tórax, parte no especificada"
S220,Fractura de vértebra torácica
S221,Fracturas múltiples de columna torácica
S222,Fractura del esternón
S223,Fractura de costilla
S224,Fracturas múltiples de costillas
S225,Tórax azotado
S228,Fractura de otras partes del tórax óseo
S229,"Fractura del tórax óseo, parte no especificada"
S230,Ruptura traumática de disco intervertebral torácico
S231,Luxación de vértebra torácica
S232,Luxación de otras partes y de las no especificadas del tórax
S233,Esguinces y torceduras de columna torácica
S234,Esguinces y torceduras de costillas y esternón
S235,Esguinces y torceduras de otras partes y de las no especificadas del tórax
S240,Concusión y edema de la médula espinal torácica
S241,Otros traumatismos y los no especificados de la médula espinal torácica
S242,Traumatismo de raíces nerviosas de la columna torácica
S243,Traumatismo de nervios periféricos del tórax
S244,Traumatismo de nervios simpáticos torácicos
S245,Traumatismo de otros nervios del tórax
S246,Traumatismo de nervio no especificado del tórax
S250,Traumatismo de la aorta torácica
S251,Traumatismo de la arteria innominada o subclavia
S252,Traumatismo de vena cava superior
S253,Traumatismo de la vena innominada o subclavia
S254,Traumatismo de vasos sanguíneos pulmonares
S255,Traumatismo de vasos sanguíneos intercostales
S257,Traumatismo de múltiples vasos sanguíneos del tórax
S258,Traumatismo de otros vasos sanguíneos del tórax
S259,Traumatismo de vasos sanguíneos no especificados del tórax
S260,Traumatismo del corazón con hemopericardio
S268,Otros traumatismos del corazón
S269,"Traumatismo del corazón, no especificado"
S270,Neumotórax traumático
S271,Hemotórax traumático
S272,Hemoneumotórax traumático
S273,Otros traumatismos del pulmón
S274,Traumatismo de los bronquios
S275,Traumatismo de la tráquea torácica
S276,Traumatismo de la pleura
S277,Traumatismos múltiples de órganos intratorácicos
S278,"Traumatismo de otros órganos intratorácicos, especificados"
S279,"Traumatismo de órgano intratorácico, no especificado"
S280,Aplastamiento del tórax
S281,Amputación traumática de parte del tórax
S290,Traumatismo de tendón y músculos a nivel del tórax
S297,Traumatismos múltiples del tórax
S298,"Otros traumatismos del tórax, especificados"
S299,"Traumatismo del tórax, no especificado"
S300,Contusión de la región lumbosacra y de la pelvis
S301,Contusión de la pared abdominal
S302,Contusión de órganos genitales externos
S307,"Traumatismos superficiales múltiples del abdomen, de la región lumbosacra y de la pelvis"
S308,"Otros traumatismos superficiales del abdomen, de la región lumbosacra y de la pelvis"
S309,"Traumatismo superficial del abdomen, de la región lumbosacra y de la pelvis, parte no especificada"
S310,Herida de la región lumbosacra y de la pelvis
S311,Herida de la pared abdominal
S312,Herida del pene
S313,Herida del escroto y de los testículos
S314,Herida de la vagina y de la vulva
S315,Herida de otros órganos genitales externos y de los no especificados
S317,"Heridas múltiples del abdomen, de la región lumbosacra y de la pelvis"
S318,Heridas de otras partes y de las no especificadas del abdomen
S320,Fractura de vértebra lumbar
S321,Fractura del sacro
S322,Fractura del cóccix
S323,Fractura del hueso iliaco
S324,Fractura del acetábulo
S325,Fractura del pubis
S327,Fracturas múltiples de la columna lumbar y de la pelvis
S328,Fractura de otras partes y de las no especificadas de la columna lumbar y de la pelvis
S330,Ruptura traumática de disco intervertebral lumbar
S331,Luxación de vértebra lumbar
S332,Luxación de articulación sacrococcígea y sacroiliaca
S333,Luxación de otras partes y de las no especificadas de la columna lumbar y de la pelvis
S334,Ruptura traumática de la sínfisis del pubis
S335,Esguinces y torceduras de la columna lumbar
S336,Esguinces y torceduras de la articulación sacroiliaca
S337,Esguinces y torceduras de otras partes y de la no especificadas de la columna lumbar y de la pelvis
S340,Concusión y edema de la médula espinal lumbar
S341,Otro traumatismo de la médula espinal lumbar
S342,Traumatismo de raíz nerviosa de la columna lumbar y sacra
S343,Traumatismo de la cola de caballo
S344,Traumatismo del plexo lumbosacro
S345,"Traumatismo de nervios(s) simpático(s) lumbar(es),sacro(s) y pélvico(s)"
S346,"Traumatismo de nervio(s) periférico(s) del abdomen, de la región lumbosacra y de la pelvis"
S348,"Traumatismo de otros nervios a nivel del abdomen, de la región lumbosacra y de la pelvis y de los no especificados"
S350,Traumatismo de la aorta abdominal
S351,Traumatismo de la vena cava inferior
S352,Traumatismo de arterias celíacas y mesentéricas
S353,Traumatismo de venas porta y esplénica
S354,Traumatismo de vasos sanguíneos renales
S355,Traumatismo de vasos sanguíneos iliacos
S357,"Traumatismo de múltiples vasos sanguíneos a nivel del abdomen, de la región lumbosacra y de la pelvis"
S358,"Traumatismo de otros vasos sanguíneos a nivel del abdomen, de la región lumbosacra y de la pelvis"
S359,"Traumatismo de vasos sanguíneos no especificados a nivel del abdomen, de la región lumbosacra y de la pelvis"
S360,Traumatismo del bazo
S361,Traumatismo del hígado y de la vesícula biliar
S362,Traumatismo del páncreas
S363,Traumatismo del estómago
S364,Traumatismo del intestino delgado
S365,Traumatismo del colon
S366,Traumatismo del recto
S367,Traumatismo de múltiples órganos intraabdominales
S368,Traumatismo de otros órganos intraabdominales
S369,Traumatismo de órgano intraabdominal no especificado
S370,Traumatismo del riñón
S371,Traumatismo del uréter
S372,Traumatismo de la vejiga
S373,Traumatismo de la uretra
S374,Traumatismo del ovario
S375,Traumatismo de la trompa de Falopio
S376,Traumatismo del útero
S377,Traumatismo de múltiples órganos pélvicos
S378,Traumatismo de otros órganos pélvicos
S379,Traumatismo de órgano pélvico no especificado
S380,Traumatismo por aplastamiento de órganos genitales externos
S381,"Traumatismo por aplastamiento de otras partes y de las no especificadas del abdomen, de la región lumbosacra y de la pelvis"
S382,Amputación traumática de órganos genitales externos
S383,"Amputación traumática de otras partes y de las no especificadas del abdomen, región lumbosacra y pelvis"
S390,"Traumatismo de tendón y de músculos del abdomen, de la región lumbosacra y de la pelvis"
S396,Traumatismo de órgano(s) intraabdominal(es) con órgano(s) pélvico(s)
S397,"Otros traumatismos múltiples del abdomen, de la región lumbosacra y de la pelvis"
S398,"Otros traumatismos especificados del abdomen, de la región lumbosacra y de la pelvis"
S399,"Traumatismo no especificado del abdomen, de la región lumbosacra y de la pelvis"
S400,Contusión del hombro y del brazo
S407,Traumatismos superficiales múltiples del hombro y del brazo
S408,Otros traumatismos superficiales del hombro y del brazo
S409,Traumatismo superficial no especificado del hombro y del brazo
S410,Herida del hombro
S411,Herida del brazo
S417,Heridas múltiples del hombro y del brazo
S418,Herida de otras partes y de las no especificadas del hombro y del brazo
S420,Fractura de la clavícula
S421,Fractura del omóplato
S422,Fractura de la epífisis superior del húmero
S423,Fractura de la diáfisis del húmero
S424,Fractura de la epífisis inferior del húmero
S427,"Fracturas múltiples de la clavícula, del omóplato y del húmero"
S428,Fractura de otras partes del hombro y del brazo
S429,"Fractura del hombro y del brazo, parte no especificada"
S430,Luxación de la articulación del hombro
S431,Luxación de la articulación acromioclavicular
S432,Luxación de la articulación esternoclavicular
S433,Luxación de otras partes de la cintura escapular y de las no especificadas
S434,Esguinces y torceduras de la articulación del hombro
S435,Esguinces y torceduras de la articulación acromioclavicular
S436,Esguinces y torceduras de la articulación esternoclavicular
S437,Esguinces y torceduras de otras partes y de las no especificadas de la cintura escapular
S440,Traumatismo del nervio cubital a nivel del brazo
S441,Traumatismo del nervio mediano a nivel del brazo
S442,Traumatismo del nervio radial a nivel del brazo
S443,Traumatismo del nervio axilar
S444,Traumatismo del nervio musculocutáneo
S445,Traumatismo del nervio sensitivo cutáneo a nivel del hombro y del brazo
S447,Traumatismo de múltiples nervios a nivel del hombro y del brazo
S448,Traumatismo de otros nervios a nivel del hombro y del brazo
S449,Traumatismo de nervio no especificado a nivel del hombro y del brazo
S450,Traumatismo de la arteria axilar
S451,Traumatismo de la arteria braquial
S452,Traumatismo de la vena axilar o braquial
S453,Traumatismo de vena superficial a nivel del hombro y del brazo
S457,Traumatismo de múltiples vasos sanguíneos a nivel del hombro y del brazo
S458,Traumatismo de otros vasos sanguíneos a nivel del hombro y del brazo
S459,Traumatismo de vaso sanguíneo no especificado a nivel del hombro y del brazo
S460,Traumatismo del músculo(s) y tendón(es) del manguito rotatorio del hombro
S461,Traumatismo del tendón y músculo de la cabeza larga del bíceps
S462,Traumatismo del tendón y músculo de otras partes del bíceps
S463,Traumatismo del tendón y músculo del tríceps
S467,Traumatismo de múltiples tendones y músculos a nivel del hombro y del brazo
S468,Traumatismo de otros tendones y músculos a nivel del hombro y del brazo
S469,"Traumatismo de tendón y músculo no especificado, a nivel del hombro y del brazo"
S47X,Traumatismo por aplastamiento del hombro y del brazo
S480,Amputación traumática en la articulación del hombro
S481,Amputación traumática a nivel entre el hombro y el codo
S489,"Amputación traumática del hombro y del brazo, nivel no especificado"
S497,Traumatismos múltiples del hombro y del brazo
S498,Otros traumatismos especificados del hombro y del brazo
S499,Traumatismos no especificados del hombro y del brazo
S500,Contusión del codo
S501,Contusión de otras partes del antebrazo y de las no especificadas
S507,Traumatismos superficiales múltiples del antebrazo
S508,Otros traumatismos superficiales del antebrazo
S509,"Traumatismo superficial del antebrazo, no especificado"
S510,Herida del codo
S517,Heridas múltiples del antebrazo
S518,Herida de otras partes del antebrazo
S519,"Herida del antebrazo, parte no especificada"
S520,Fractura de la epífisis superior del cúbito
S521,Fractura de la epífisis superior del radio
S522,Fractura de la diáfisis del cúbito
S523,Fractura de la diáfisis del radio
S524,Fractura de la diáfisis del cúbito y del radio
S525,Fractura de la epífisis inferior del radio
S526,Fractura de la epífisis inferior del cúbito y del radio
S527,Fracturas múltiples del antebrazo
S528,Fractura de otras partes del antebrazo
S529,"Fractura del antebrazo, parte no especificada"
S530,Luxación de la cabeza del radio
S531,"Luxación del codo, no especificada"
S532,Ruptura traumática del ligamento lateral del radio
S533,Ruptura traumática del ligamento lateral del cúbito
S534,Esguinces y torceduras del codo
S540,Traumatismo del nervio cubital a nivel del antebrazo
S541,Traumatismo del nervio mediano a nivel del antebrazo
S542,Traumatismo del nervio radial a nivel del antebrazo
S543,Traumatismo del nervio sensorial cutáneo a nivel del antebrazo
S547,Traumatismo de múltiples nervios a nivel del antebrazo
S548,Traumatismo de otros nervios a nivel del antebrazo
S549,Traumatismo de nervio no especificado a nivel del antebrazo
S550,Traumatismo de la arteria cubital a nivel del antebrazo
S551,Traumatismo de la arteria radial a nivel del antebrazo
S552,Traumatismo de vena a nivel del antebrazo
S557,Traumatismo de múltiples vasos sanguíneos a nivel del antebrazo
S558,Traumatismo de otros vasos sanguíneos a nivel del antebrazo
S559,Traumatismo de vaso sanguíneo no especificado a nivel del antebrazo
S560,Traumatismo del tendón y músculo flexor del pulgar a nivel del antebrazo
S561,Traumatismo del tendón y músculo flexor de otro(s) dedo(s) a nivel del antebrazo
S562,Traumatismo de otro tendón y músculo flexor a nivel del antebrazo
S563,Traumatismo de tendones y músculos abductores y extensores del pulgar a nivel del antebrazo
S564,Traumatismo del tendón y músculo extensor de otro(s) dedo(s) a nivel del antebrazo
S565,Traumatismo de otro tendón y músculo extensor a nivel del antebrazo
S567,Traumatismo de múltiples tendones y músculos a nivel del antebrazo
S568,"Traumatismo de otros tendones y músculos y de los no especificados, a nivel del antebrazo"
S570,Traumatismo por aplastamiento del codo
S578,Traumatismo por aplastamiento de otras partes del antebrazo
S579,"Traumatismo por aplastamiento del antebrazo, parte no especificada"
S580,Amputación traumática a nivel del codo
S581,Amputación traumática nivel entre el codo y la muñeca
S589,"Amputación traumática del antebrazo, nivel no especificado"
S597,Otros Traumatismos múltiples del antebrazo
S598,Otros traumatismos especificados del antebrazo
S599,Traumatismo no especificado del antebrazo
S600,"Contusión de dedo(s) de la mano, sin daño de la(s) uña(s)"
S601,Contusión de dedo(s) de la mano con daño de la(s) uña(s)
S602,Contusión de otras partes de la muñeca y de la mano
S607,Traumatismos superficiales múltiples de la muñeca y de la mano
S608,Otros traumatismos superficiales de la muñeca y de la mano
S609,"Traumatismo superficial de la muñeca y de la mano, no especificado"
S610,"Herida de dedo(s) de la mano, sin daño de la(s) uña(s)"
S611,"Herida de dedo(s) de la mano, con daño de la(s) uña(s)"
S617,Heridas múltiples de la muñeca y de la mano
S618,Herida de otras partes de la muñeca y de la mano
S619,"Herida de la muñeca y de la mano, parte no especificada"
S620,Fractura del hueso escafoides [navicular] de la mano
S621,Fractura de otro(s) hueso(s) del carpo
S622,Fractura del primer metacarpiano
S623,Fractura de otros huesos metacarpianos
S624,Fracturas múltiples de huesos metacarpianos
S625,Fractura del pulgar
S626,Fractura de otro dedo de la mano
S627,Fracturas múltiples de los dedos de la mano
S628,Fractura de otras partes y de las no especificadas de la muñeca y de la mano
S630,Luxación de la muñeca
S631,Luxación de dedos de la mano
S632,Luxaciones múltiples de dedos de la mano
S633,Ruptura traumática de ligamentos de la muñeca y del carpo
S634,Ruptura traumática de ligamentos del dedo de la mano en la(s) articulación(es) metacarpofalángica e interfalángica
S635,Esguince y torcedura de la muñeca
S636,Esguinces y torceduras de dedo(s) de la mano
S637,Esguinces y torceduras de otras partes y de las no especificadas de la muñeca y de la mano
S640,Traumatismo del nervio cubital a nivel de la muñeca y de la mano
S641,Traumatismo del nervio mediano a nivel de la muñeca y de la mano
S642,Traumatismo del nervio radial a nivel de la muñeca y de la mano
S643,Traumatismo del nervio digital del pulgar
S644,Traumatismo del nervio digital de otro dedo
S647,Traumatismo de múltiples nervios a nivel de la muñeca y de la mano
S648,Traumatismo de otros nervios a nivel de la muñeca y de la mano
S649,Traumatismo de nervio no especificado a nivel de la muñeca y de la mano
S650,Traumatismo de la arteria cubital a nivel de la muñeca y de la mano
S651,Traumatismo de la arteria radial a nivel de la muñeca y de la mano
S652,Traumatismo del arco palmar superficial
S653,Traumatismo del arco palmar profundo
S654,Traumatismo de vaso(s) sanguíneo(s) del pulgar
S655,Traumatismo de vaso(s) sanguíneo(s) de otro dedo
S657,Traumatismo de múltiples vasos sanguíneos a nivel de la muñeca y de la mano
S658,Traumatismo de otros vasos sanguíneos a nivel de la muñeca y de la mano
S659,"Traumatismo de vaso sanguíneo no especificado, a nivel de la muñeca y de la mano"
S660,Traumatismo del tendón y músculo flexor largo del pulgar a nivel de la muñeca y de la mano
S661,Traumatismo del tendón y músculo flexor de otro dedo a nivel de la muñeca y de la mano
S662,Traumatismo del tendón y músculo extensor del pulgar a nivel de la muñeca y de la mano
S663,Traumatismo del tendón y músculo extensor de otro(s) dedo(s) a nivel de la muñeca y de la mano
S664,Traumatismo del músculo y tendón intrínseco del pulgar a nivel de la muñeca y de la mano
S665,Traumatismo del músculo y tendón intrínseco de otro(s) dedo(s) a nivel de la muñeca y de la mano
S666,Traumatismo de múltiples tendones y músculos flexores a nivel de la muñeca y de la mano
S667,Traumatismo de múltiples tendones y músculos extensores a nivel de la muñeca y de la mano
S668,Traumatismo de otros tendones y músculos a nivel de la muñeca y de la mano
S669,"Traumatismo de tendón y músculo no especificado, a nivel de la muñeca y de la mano"
S670,Traumatismo por aplastamiento del pulgar y otro(s) dedo(s)
S678,Traumatismo por aplastamiento de otras partes y de las no especificadas de la muñeca y de la mano
S680,Amputación traumática del pulgar (completa) (parcial)
S681,Amputación traumática de otro dedo único (completa) (parcial)
S682,Amputación traumática de dos o más dedos solamente (completa) (parcial)
S683,Amputación traumática combinada (de parte) de dedo(s) con otras partes de la muñeca y de la mano
S684,Amputación traumática de la mano a nivel de la muñeca
S688,Amputación traumática de otras partes de la muñeca y de la mano
S689,"Amputación traumática de la muñeca y de la mano, nivel no especificado"
S697,Otros traumatismos múltiples de la muñeca y de la mano
S698,Otros traumatismos especificados de la muñeca y de la mano
S699,Traumatismo no especificado de la muñeca y de la mano
S700,Contusión de la cadera
S701,Contusión del muslo
S707,Traumatismos superficiales múltiples de la cadera y del muslo
S708,Otros traumatismos superficiales de la cadera y del muslo
S709,"Traumatismo superficial de la cadera y del muslo, no especificado"
S710,Herida de la cadera
S711,Herida del muslo
S717,Heridas múltiples de la cadera y del muslo
S718,Herida de otras partes y de las no especificadas de la cintura pélvica
S720,Fractura del cuello de fémur
S721,Fractura pertrocanteriana
S722,Fractura subtrocanteriana
S723,Fractura de la diáfisis del fémur
S724,Fractura de la epífisis inferior del fémur
S727,Fracturas múltiples del fémur
S728,Fracturas de otras partes del fémur
S729,"Fractura del fémur, parte no especificada"
S730,Luxación de la cadera
S731,Esguinces y torceduras de la cadera
S740,Traumatismo del nervio ciático a nivel de la cadera y del muslo
S741,Traumatismo del nervio femorocutáneo a nivel de la cadera y del muslo
S742,Traumatismo del nervio sensorial cutáneo a nivel de la cadera y del muslo
S747,Traumatismo de nervios múltiples a nivel de la cadera y del muslo
S748,Traumatismo de otros nervios a nivel de la cadera y del muslo
S749,Traumatismo de nervio no especificado a nivel de la cadera y del muslo
S750,Traumatismo de la arteria femoral
S751,Traumatismo de la vena femoral a nivel de la cadera y del muslo
S752,Traumatismo de la gran vena safena a nivel de la cadera y del muslo
S757,Traumatismo de múltiples vasos sanguíneos a nivel de la cadera y del muslo
S758,Traumatismo de otros vasos sanguíneos a nivel de la cadera y del muslo
S759,Traumatismo de vaso sanguíneo no especificado a nivel de la cadera y del muslo
S760,Traumatismo del tendón y músculo de la cadera
S761,Traumatismo del tendón y músculo cuádriceps
S762,Traumatismo del tendón y músculo aductor mayor del muslo
S763,Traumatismo de tendón y músculo del grupo muscular posterior a nivel del muslo
S764,Traumatismo de otros tendones y músculos y los no especificados a nivel del muslo
